empresa,year,ventas,activos,precio_accion,numacciones,retorno_accion,utilidad,deuda
AMGN,2023,28190000,97154000,288.02,535178.027,.12631845,7897000,64613000
AMKR,2023,6503065,6771125,33.27,245768.114,.33875275,470287,1293909
AMLX,2023,380786,517454,14.72,67517.753,-.92035866,38802,4237
AMPH,2023,644395,1512912,61.85,47907.411,.79179335,196987,623642
AMRX,2023,2393607,3472569,6.07,306544.199,1.1152239,204374,2750523
AMSC,2023,145639,232771,13.51,30736.347,1.0121564,-11368,2709
AMTX,2023,186717,243406,5.24,39451.266,.28007746,-37401,296910
AMWD,2023,2066200,1518798,76.37,16376.579,.52870512,136352,477807
ANAB,2023,17157,452389,21.42,26575.178,-.36933947,-164411,17814
ANET,2023,5860168,9946806,235.51,311100.142,.66307449,2257249,0
ANGO,2023,338752,532637,10.43,39236.422,-.61800623,-51181,49818
ANIK,2023,166662,270632,22.66,14640.886,-.26717329,-87639,26904
ANIX,2023,210,25522,3.88,31070.022,-.091083765,-11011,175
ANL,2023,5890,130189,8.99,110700.805,,-67551,1191
AOS,2023,3852800,3213900,82.44,148720.428,.38727808,738600,155200
AOSL,2023,691321,1199737,32.8,27488.761,-.016329527,22529,78804
AP,2023,422340,565654,2.73,19865.749,.084018886,-34574,133421
APD,2023,12600000,32002500,283.4,222148.761,.22054577,2494600,10936900
APH,2023,12554700,16526400,99.13,598310.231,.27383661,2559600,4337300
APLS,2023,396591,788730,59.86,118499.945,.1463573,-517121,426575
APLT,2023,9993,54833,3.35,77229.20699999989,1.4833971,-64535,467
APOG,2023,1416942,884064,59.2,22085.098,.33526301,133833,106193
APRE,2023,583.231,22650.174,4.7,3736.673,-.34253287,-15471.963,0
APYX,2023,52349,79240,2.62,34643.855,.1130234,-17259,38501
AQMS,2023,25,33600,.76,107811.467,-.49758038,-24464,310
AQST,2023,50583,57418,2.02,66767.283,.80612743,-15102,33319
ARAY,2023,447605,479214,3.87,95751.773,.68031007,2382,205036
ARDX,2023,124456,297579,6.2,232137.709,.77723038,-63276,55982
ARHS,2023,1287704,1114094,11.85,140282.906,.19506049,164311,462929
ARLO,2023,491176,285538,9.52,94628.607,.99777877,-24903,17021
ARMP,2023,4529,98363,3.24,36146.574,.96046197,-40890,120371
